UUIDFactura,EsManual,Nombre_Receptor,RFC_Receptor,Nombre_Emisor,RFC_Emisor,FechaEmision,Monto,MontoPagado,MontoAPagar,MetodoPago,Vigencia,DivisaFactura,DivisaMovimiento,EstadoFactura,IdTransaccion,MontoTransaccion,FechaTransaccion,TransaccionConcepto,BancoEmisor,CuentaEmisora,BancoReceptor,CuentaReceptora,MontoAbonado,ClaveRastreo,Observaciones
F9090EFFB65E4FA89DD833EE637B3006,NO,A**** I****E****,EOR010101**1,C**** S****S****,CSS010101**0,08/08/23,3111.6,0,3111.6,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
F571F3118FF2428D9E3C83ACB714B478,NO,V**** H****M****,MOM010101**4,C**** S****S****,CSS010101**0,31/08/23,3111.6,0,3111.6,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
F46B3D002467458D9F93895EABF1AD80,NO,C**** S****S****,CSS010101**0,S**** G****A****,SGD010101**1,15/08/23,39926.24,0,39926.24,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
F18497A5987D48F69D5644D3E19AD111,NO,C**** S****S****,CSS010101**0,C**** G****M****,CGM010101**8,31/08/23,17586.91,0,17586.91,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
F00EA1A6E905556B85C42F9BF4F9281F,NO,S**** B****F****,SBF010101**0,S**** F****E****,SFO010101**2,29/08/23,1506.84,0,1506.84,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
EFACDF8EBC764E0E88B9CC29A6C24F77,NO,D**** M****L****,MAL010101**4,C**** S****S****,CSS010101**0,16/08/23,3947.84,0,3947.84,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
EEB886969D7B4470BB0EEF267F552C08,NO,R**** M****T****,MOT010101**1,C**** S****S****,CSS010101**0,16/08/23,5427.53,0,5427.53,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
E759B481FBFC4B508201426186426B19,NO,M**** L****M****,MOR010101**7,C**** S****S****,CSS010101**0,31/08/23,3111.6,0,3111.6,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
E731413B3363406BB58604702DBA7C10,NO,C**** S****S****,CSS010101**0,T**** T****S****,TTS010101**9,30/08/23,107184,0,107184,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
DE19A19B818B4C838207F667BBD00BD9,NO,D**** M****L****,MAL010101**4,C**** S****S****,CSS010101**0,08/08/23,3940.53,0,3940.53,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
D495F294D6DE4D268CA54A2F2BE6C86C,NO,C**** S****S****,CSS010101**0,"""**** D****G****",AGE010101**5,25/08/23,1833.68,0,1833.68,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
D1897E75B6304B1D8BC9CE47C80451CB,NO,C**** S****S****,CSS010101**0,T**** T****S****,TTS010101**9,16/08/23,23065.09,0,23065.09,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
CBC3B5274CA04CB88B6DBC7EE6BE2F8D,NO,V**** H****M****,MOM010101**4,C**** S****S****,CSS010101**0,08/08/23,3111.6,0,3111.6,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
C329C20F08194B43BAA91ABF8349C090,NO,C**** S****S****,CSS010101**0,C**** C****O****,CCO010101**5,31/08/23,66816,0,66816,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
C069116620CE4FE6BDFB8FBFFF8455D2,NO,C**** S****S****,CSS010101**0,P****,PAD010101**3,30/08/23,2411.65,0,2411.65,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
BA9F42EED10143BC94B8B0152F3BF54B,NO,C**** S****S****,CSS010101**0,T**** H****A****,THV010101**6,15/08/23,155062.7,0,155062.7,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
B472DEED2CCF5300B360A87DD237303B,NO,C**** S****S****,CSS010101**0,I****,IZA010101**2,03/08/23,3306,3306,0,PPD,No definido,MXN,MXN,PAGADA,1c3c6879c9c3e75d64db47c291245f62,3306,05/09/23,D****,INBURSA,3618****0900,SANTANDER,1458****7500,3306,036I****3494,VINCULACION NO CONFIRMADA
B34265502F344510A7E7BA7958172079,NO,C**** S****S****,CSS010101**0,B**** N****D****,BNM010101**1,02/08/23,568.4,0,568.4,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
B215D52835D04106BED458C43983B301,NO,C**** S****S****,CSS010101**0,T**** H****A****,THV010101**6,30/08/23,20402.71,0,20402.71,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
ACD290EE6CDB49C9A5BA99964272B9C2,NO,A**** I****E****,EOR010101**1,C**** S****S****,CSS010101**0,31/08/23,3111.6,0,3111.6,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
A11FBE177C0A4AF4B9E2DB07FEC0F8CD,NO,J**** J****A****,AEB010101**7,C**** S****S****,CSS010101**0,31/08/23,5134.04,0,5134.04,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
9FD729C6BC5B4E78B5249746575CF0B5,NO,C**** S****S****,CSS010101**0,"""**** D****G****",AGE010101**5,25/08/23,1758.26,0,1758.26,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
9E40386C211E454494BD73D19DE07E67,NO,C**** S****S****,CSS010101**0,H**** D****P****,HDS010101**9,15/08/23,114927.03,0,114927.03,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
9C2CF4B65C174D3AB236CE53ECC96ADB,NO,R**** M****T****,MOT010101**1,C**** S****S****,CSS010101**0,31/08/23,5416.81,0,5416.81,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
9AB2FFC991FF4A149DA60763A08D3F51,NO,C**** S****S****,CSS010101**0,H**** D****P****,HDS010101**9,15/08/23,62344.79,0,62344.79,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
978A89401CA5404E884A65A51F61D809,NO,C**** S****S****,CSS010101**0,T**** H****A****,THV010101**6,30/08/23,154227.87,0,154227.87,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
976CB3F8B9FE456BAC663BDE551764EE,NO,J**** A****R****,ROZ010101**2,C**** S****S****,CSS010101**0,31/08/23,5619.82,0,5619.82,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
971E46D7A69243EFBDCE0F7B9BEE5388,NO,J**** J****A****,AEB010101**7,C**** S****S****,CSS010101**0,08/08/23,5134.04,0,5134.04,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
8AC7B713098B44928830890B8D3AB483,NO,C**** S****S****,CSS010101**0,T**** T****S****,TTS010101**9,15/08/23,100143.12,100143.12,0,PUE,No definido,MXN,MXN,PAGADA,bcc4c49017862d18bb0c1fbb3229d074,100143.12,15/08/23,s****,INBURSA,3618****0900,BBVA,1218****7700,100143.12,036I****1433,VINCULACION NO CONFIRMADA
89AB1DD30BCF40D382B19327B3DB40AD,NO,S**** B****F****,SBF010101**0,S****,STE010101**8,04/08/23,5800,0,5800,PPD,No definido,MXN,NA,PENDIENTE,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
85D81374A0344D368D25530643280212,NO,C**** S****S****,CSS010101**0,J**** R****B****,BAM010101**9,09/08/23,731,0,731,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
8311372E799D49B8982DB35F42A04339,NO,A**** I****E****,EOR010101**1,C**** S****S****,CSS010101**0,16/08/23,3111.6,0,3111.6,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
8297E8DEF4F34B2694BDDDAB12D9AFE4,NO,D**** M****L****,MAL010101**4,C**** S****S****,CSS010101**0,31/08/23,3940.53,0,3940.53,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
7BC60AECDE1443738A9AD4CB9CDAA17A,NO,C**** S****S****,CSS010101**0,O****,OAD010101**0,30/08/23,1725.97,0,1725.97,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
780CE316908347DFA0254E336BC5E962,NO,C**** S****S****,CSS010101**0,T**** H****A****,THV010101**6,15/08/23,34655.05,0,34655.05,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
77B7E59D7EB54F2597211F6DA1269BE3,NO,C**** S****S****,CSS010101**0,H**** A****Y****,HAA010101**1,15/08/23,11241.4,0,11241.4,PPD,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
73EF69478A3D4E3DA346CAECB9A9D9FE,NO,C**** S****S****,CSS010101**0,B**** A****S****,BAI010101**8,02/08/23,0,0,0,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
6597FB3014E34FF49ACF556A972A1ED8,NO,C**** S****S****,CSS010101**0,B**** N****D****,BNM010101**1,03/08/23,0,0,0,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
637E752441FF4F518884E9E6ACF6A084,NO,C**** S****S****,CSS010101**0,T**** H****A****,THV010101**6,15/08/23,20245.98,0,20245.98,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
5EC13E3784C55AC7B2A4E23E6D4F2599,NO,S**** B****F****,SBF010101**0,S**** F****E****,SFO010101**2,28/08/23,1506.84,0,1506.84,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
5E6DE25BDCF4455AB8EB66C97A3FE59B,NO,J**** A****R****,ROZ010101**2,C**** S****S****,CSS010101**0,08/08/23,5619.82,0,5619.82,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
5CEC326DF4FC40548B7EBD1BB217AF23,NO,J**** A****R****,ROZ010101**2,C**** S****S****,CSS010101**0,16/08/23,5630.98,0,5630.98,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
544F4288E45B456BB5F773501D2FD07C,NO,M**** L****M****,MOR010101**7,C**** S****S****,CSS010101**0,16/08/23,3111.6,0,3111.6,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
5292614A654C5DC683D70DA0015CFB73,NO,C**** S****S****,CSS010101**0,I****,IZA010101**2,02/08/23,3306,0,3306,PUE,No definido,MXN,NA,VENCIDA,NA,0,NA,N****,NA,NA,NA,NA,0,NA,NINGUNA
